job_name,task_name,inst_num,status,start_time,end_time,plan_cpu,plan_mem,plan_gpu,gpu_type
c936346f45eccd34bf748541,tensorflow,1,Terminated,2693235,2695847,600,29.296875,50,MISC
455c3dec270f4777ad67721c,tensorflow,1,Terminated,3399583,3399732,600,29.296875,100,MISC
ba64aa2f0feff18428923e92,tensorflow,1,Terminated,2152271,2158213,600,29.296875,50,MISC
704783be2a4b7f88b8d2e4ee,worker,100,Failed,2172980,,600,9.765625,10,MISC
bce3b9c55772f9d1e85fe796,PyTorchWorker,4,Failed,2374681,,400,10,100,V100
d45e51734a9bd73fb94fa849,xComputeWorker,1,Terminated,2359994,2360345,1000,19.55078125,50,T4
b609d0b21c1702836d822f03,tensorflow,1,Terminated,2362291,2362331,600,29.296875,25,MISC
547ad3599b438db832ed11e3,ps,5,Terminated,1258178,1259908,600,39.0625,,
f4969adbe3a9142c6b7f2f76,tensorflow,1,Terminated,1208483,1208543,600,29.296875,25,MISC
b9b65eea61bc560c38628a7d,ps,10,Terminated,3028709,3093306,1000,6.8359375,,
cc98fd503972bea43b33f589,ps,5,Terminated,2409576,2415625,600,39.0625,,
6709e0abba60de42600d364d,PyTorchWorker,8,Terminated,2087083,2087221,1800,58.59375,100,MISC
32e329c4a06243cb40b98b77,ps,1,Terminated,2115121,2115175,600,2.9296875,,
f7df126bdb1cf9254848334d,tensorflow,1,Terminated,1590472,1590575,600,29.296875,100,MISC
6e164ace519dec71a58a7901,tensorflow,1,Terminated,2455479,2455723,600,29.296875,100,MISC
d76d4017df0414d7055f20b6,tensorflow,1,Terminated,2401728,2403150,600,29.296875,25,MISC
e24bd18ed41589f0d1138aab,worker,1,Terminated,1802815,1802857,600,29.296875,100,MISC
4f06a1d008671d1d4e702154,PyTorchWorker,1,Terminated,1851076,1851153,1800,58.59375,100,MISC
2484e9ee83883ac83be7d6ff,tensorflow,1,Terminated,3727564,3730718,600,29.296875,100,MISC
4c8368f670a8c0bb94fba9be,worker,20,Terminated,3754905,3755360,800,19.53125,50,MISC
30f6ea3feca035f134a6233f,tensorflow,1,Terminated,3703114,3706635,600,29.296875,100,P100
2a3e317f0d5b008637a65206,tensorflow,1,Terminated,1943023,1943073,600,29.296875,25,MISC
d04911f4bf0ec739b03b32e0,tensorflow,1,Terminated,3478229,3479473,600,29.296875,100,P100
3554de009ff9db7285a9c650,ps,1,Running,1663392,,200,39.0625,,
0f0b520fe81543bfc076c3ed,tensorflow,1,Terminated,2347687,2372029,600,29.296875,25,MISC
cfe02221f42616dd3f1244cb,PyTorchWorker,1,Failed,2365954,,1800,58.59375,100,P100
47d0ef3adb8f0e95d745f585,tensorflow,1,Terminated,2395002,2395138,600,29.296875,50,T4
17634d92349d5d9259049e55,tensorflow,1,Terminated,2440098,2440208,600,29.296875,100,MISC
38194ef59a8e095535f9537e,tensorflow,1,Failed,1759243,,600,29.296875,25,MISC
51bebbf080c6c9898397f689,worker,2,Running,1751553,,300,48.828125,50,MISC
